BpS_Name,Model_Code
Apacherian-Chihuahuan Semi-Desert Grassland and Steppe,11210_14
Apacherian-Chihuahuan Semi-Desert Grassland and Steppe,11210_15
Apacherian-Chihuahuan Semi-Desert Grassland and Steppe,11210_24
Apacherian-Chihuahuan Semi-Desert Grassland and Steppe,11210_25
Apacherian-Chihuahuan Semi-Desert Grassland and Steppe,11210_26
Apacherian-Chihuahuan Semi-Desert Grassland and Steppe,11210_27
Chihuahuan Gypsophilous Grassland and Steppe,11220_25
Chihuahuan Gypsophilous Grassland and Steppe,11220_26
Chihuahuan Gypsophilous Grassland and Steppe,11220_27
Columbia Plateau Steppe and Grassland,11230_1_7_8_9
Columbia Plateau Steppe and Grassland,11230_10_18
Columbia Plateau Low Sagebrush Steppe,11240_1_7_8_9
Columbia Plateau Low Sagebrush Steppe,11240_10_12_17_18_19_21
Inter-Mountain Basins Big Sagebrush Steppe,11250_1_7_8_9_10_19
Inter-Mountain Basins Big Sagebrush Steppe,11250_20_29_30_31_33
Inter-Mountain Basins Big Sagebrush Steppe,11250_6_12_13_15_16_17_18_23_24_25_28
Inter-Mountain Basins Montane Sagebrush Steppe,11260_1_7_8_9_10_19
Inter-Mountain Basins Montane Sagebrush Steppe,11260_13
Inter-Mountain Basins Montane Sagebrush Steppe,11260_20_29_33
Inter-Mountain Basins Montane Sagebrush Steppe,11260_21
Inter-Mountain Basins Montane Sagebrush Steppe,11260_22
Inter-Mountain Basins Montane Sagebrush Steppe,11260_6_12_17_18_28
Inter-Mountain Basins Montane Sagebrush Steppe - Mountain Big Sagebrush,11261_16_23_24
Inter-Mountain Basins Montane Sagebrush Steppe - Low Sagebrush,11262_16_23
Inter-Mountain Basins Semi-Desert Shrub-Steppe,11270_10_12_13_17_18
Inter-Mountain Basins Semi-Desert Shrub-Steppe,11270_14
Inter-Mountain Basins Semi-Desert Shrub-Steppe,11270_15
Inter-Mountain Basins Semi-Desert Shrub-Steppe,11270_16_23_24_25
Inter-Mountain Basins Semi-Desert Shrub-Steppe,11270_21
Inter-Mountain Basins Semi-Desert Shrub-Steppe,11270_22
Inter-Mountain Basins Semi-Desert Shrub-Steppe,11270_28
Inter-Mountain Basins Semi-Desert Shrub-Steppe,11270_7_8_9
Northern California Coastal Scrub,11280_2_3_4
California Central Valley and Southern Coastal Grassland,11290_4_5
California Mesic Serpentine Grassland,11300_3_4
California Northern Coastal Grassland,11310_2_3_4
Central Mixedgrass Prairie,11320_31_38
Central Mixedgrass Prairie,11320_32_34_35
Central Mixedgrass Prairie,11320_33
Chihuahuan Sandy Plains Semi-Desert Grassland,11330_25
Columbia Basin Foothill and Canyon Dry Grassland,11340_10
Columbia Basin Foothill and Canyon Dry Grassland,11340_8_9
Inter-Mountain Basins Semi-Desert Grassland,11350_13_14
Inter-Mountain Basins Semi-Desert Grassland,11350_15_28
Inter-Mountain Basins Semi-Desert Grassland,11350_16_23_24
Inter-Mountain Basins Semi-Desert Grassland,11350_22
Inter-Mountain Basins Semi-Desert Grassland,11350_25
Inter-Mountain Basins Semi-Desert Grassland,11350_7_8_9_10_12_17_18
Mediterranean California Alpine Dry Tundra,11360_6
Mediterranean California Subalpine Meadow,11370_3_6
North Pacific Montane Grassland,11380_1
North Pacific Montane Grassland,11380_3_5
North Pacific Montane Grassland,11380_6
Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland,11390_10_19
Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland,11390_18
Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland,11390_20
Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland,11390_21
Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland,11390_22
Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland,11390_29
Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland,11390_8_9
Northern Rocky Mountain Subalpine-Upper Montane Grassland,11400_10_19
Northern Rocky Mountain Subalpine-Upper Montane Grassland,11400_20
Northern Rocky Mountain Subalpine-Upper Montane Grassland,11400_21
Northern Rocky Mountain Subalpine-Upper Montane Grassland,11400_29
Northern Rocky Mountain Subalpine-Upper Montane Grassland,11400_9
Northwestern Great Plains Mixedgrass Prairie,11410_20
Northwestern Great Plains Mixedgrass Prairie,11410_29_30
Northwestern Great Plains Mixedgrass Prairie,11410_31
Northwestern Great Plains Mixedgrass Prairie,11410_39
Northwestern Great Plains Mixedgrass Prairie,11410_40
Columbia Basin Palouse Prairie,11420_8
Columbia Basin Palouse Prairie,11420_9_10
Rocky Mountain Alpine Fell-Field,11430_9_19_21_28
Rocky Mountain Alpine Turf,11440_12_16_19_28
Rocky Mountain Alpine Turf,11440_21_22
Rocky Mountain Subalpine-Montane Mesic Meadow,11450_13
Rocky Mountain Subalpine-Montane Mesic Meadow,11450_16
Rocky Mountain Subalpine-Montane Mesic Meadow,11450_17
Rocky Mountain Subalpine-Montane Mesic Meadow,11450_20
Rocky Mountain Subalpine-Montane Mesic Meadow,11450_21
Rocky Mountain Subalpine-Montane Mesic Meadow,11450_22_24_28
Rocky Mountain Subalpine-Montane Mesic Meadow,11450_29
Rocky Mountain Subalpine-Montane Mesic Meadow,11450_9_10_19
Southern Rocky Mountain Montane-Subalpine Grassland,11460_15_16_23_24_25_28
