VALUE,BPS_CODE,ZONE,BPS_MODEL,BPS_NAME,GROUPVEG,FRI_REPLAC,FRI_MIXED,FRI_SURFAC,FRI_ALLFIR,PRC_REPLAC,PRC_MIXED,PRC_SURFAC,FRG_NEW,R,G,B,RED,GREEN,BLUE
2135,13110,44,13110_44,North-Central Interior Dry Oak Forest and Woodland,Hardwood,107,99,19,14,13,14,73,I-B,179,207,143,0.701961,0.811765,0.560784
2136,13120,44,13120_44,Ouachita Montane Oak Forest,Hardwood,38,89,6,5,13,6,81,I-A,0,38,115,0,0.14902,0.45098
2137,13140,44,13140_38_39_40_41_42_43_44_50,North-Central Interior Maple-Basswood Forest,Hardwood,1027,-9999,857,467,46,-9999,54,V-A,237,161,102,0.929412,0.631373,0.4
2138,13230,44,13230_32_36_37_44_45_98,West Gulf Coastal Plain Mesic Hardwood Forest,Hardwood,271,90,23,17,7,19,74,I-C,181,158,143,0.709804,0.619608,0.560784
2139,13340,44,13340_32_43_44,Ozark-Ouachita Mesic Hardwood Forest,Hardwood,316,110,25,19,6,18,76,I-C,0,135,74,0,0.529412,0.290196
2140,13640,44,13640_32_44_49,Ozark-Ouachita Dry Oak Woodland,Hardwood,38,89,6,5,13,5,82,I-A,97,69,0,0.380392,0.270588,0
2141,13670,44,13670_32_44,Ozark-Ouachita Shortleaf Pine-Oak Forest and Woodland,Conifer,347,92,5,5,1,5,94,I-A,196,164,100,0.768627,0.643137,0.392157
2142,13710,44,13710_44,West Gulf Coastal Plain Pine-Hardwood Forest,Hardwood-Conifer,121,52,5,4,4,9,87,I-A,100,168,0,0.392157,0.658824,0
2143,13780,44,13780_37_44,West Gulf Coastal Plain Sandhill Oak and Shortleaf Pine Forest and Woodland,Hardwood-Conifer,159,390,5,5,3,1,96,I-A,209,217,0,0.819608,0.85098,0
2144,13940,44,13940_44_49,North-Central Interior Oak Savanna,Hardwood,550,189,5,5,1,3,96,I-A,230,213,138,0.901961,0.835294,0.541176
2145,14010,44,14010_43_44_47_48_53,Central Interior Highlands Calcareous Glade and Barrens,Grassland,19,16,5,3,18,21,61,I-A,255,235,20,1,0.921569,0.078431
2146,14151,44,14151_44,Arkansas Valley Prairie and Woodland-Prairie,Grassland,2,344,12,2,82,1,17,II-A,255,120,187,1,0.470588,0.733333
2147,14152,44,14152_44,Arkansas Valley Prairie and Woodland-Woodland,Grassland,96,14,2,2,3,14,83,I-A,204,138,179,0.8,0.541176,0.701961
2148,14210,44,14210_31_38_42_43_44_50_51,Central Tallgrass Prairie,Grassland,4,-9999,-9999,4,100,-9999,-9999,II-A,232,255,196,0.909804,1,0.768627
2149,14230,44,14230_43_44,Southeastern Great Plains Tallgrass Prairie,Grassland,2,80,503,2,97,2,1,II-A,135,75,120,0.529412,0.294118,0.470588
2150,14280,44,14280_37_44,West Gulf Coastal Plain Northern Calcareous Prairie,Grassland,1280,7,7,3,1,52,47,I-A,255,0,110,1,0,0.431373
2151,14580,44,14580_37_44_45_98,West Gulf Coastal Plain Pine-Hardwood Flatwoods,Hardwood-Conifer,179,104,5,5,3,4,93,I-A,99,235,97,0.388235,0.921569,0.380392
2152,14710,44,14710_44,Central Interior and Appalachian Floodplain Systems,Riparian,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,191,176,0,0.74902,0.690196
2153,14712,44,14712_44,Central Interior and Appalachian Floodplain Systems-Large Floodplains,Riparian,142,-9999,100,59,41,-9999,59,III-A,48,237,56,0.188235,0.929412,0.219608
2154,14720,44,14720_44_46_47_48,Central Interior and Appalachian Riparian Systems,Riparian,990,-9999,200,167,17,-9999,83,III-B,36,255,20,0.141176,1,0.078431
2155,14730,44,14730_32_37_44,Gulf and Atlantic Coastal Plain Floodplain Systems,Riparian,393,257,49,37,10,15,75,III-A,102,119,205,0.4,0.466667,0.803922
